+------+----------------------+------------------------+---------------+
| Rank |      Drug Name       |      Target Name       | Binding Score |
|  48  |      Tipranavir      | SARS-CoV2 3CL Protease |    6014.50    |
|  49  |     Ganciclovir      | SARS-CoV2 3CL Protease |    6348.02    |
|  50  |     Tromantadine     | SARS-CoV2 3CL Protease |    6595.45    |
|  51  |      Maraviroc       | SARS-CoV2 3CL Protease |    6761.00    |
|  52  |      Efavirenz       | SARS-CoV2 3CL Protease |    8524.16    |
|  53  |      Doravirine      | SARS-CoV2 3CL Protease |    9066.70    |
|  54  |    Valganciclovir    | SARS-CoV2 3CL Protease |    9983.43    |
|  55  |      Stavudine       | SARS-CoV2 3CL Protease |    10453.64   |
|  56  |     Nitazoxanide     | SARS-CoV2 3CL Protease |    10552.03   |
|  57  |      Aciclovir       | SARS-CoV2 3CL Protease |    10901.55   |
|  58  |      Zidovudine      | SARS-CoV2 3CL Protease |    12326.54   |
|  59  |     Ibacitabine      | SARS-CoV2 3CL Protease |    12893.85   |
|  60  |     Oseltamivir      | SARS-CoV2 3CL Protease |    13324.75   |
|  61  |      Pleconaril      | SARS-CoV2 3CL Protease |    13435.65   |
|  62  |       Imunovir       | SARS-CoV2 3CL Protease |    14557.79   |
|  63  |      Entecavir       | SARS-CoV2 3CL Protease |    14959.22   |
|  64  |     Zalcitabine      | SARS-CoV2 3CL Protease |    15494.68   |
|  65  |      Edoxudine       | SARS-CoV2 3CL Protease |    15722.96   |
|  66  |      Cidofovir       | SARS-CoV2 3CL Protease |    15877.03   |
|  67  |      Ribavirin       | SARS-CoV2 3CL Protease |    16440.68   |
|  68  |      Lamivudine      | SARS-CoV2 3CL Protease |    17302.53   |
|  69  |      Nevirapine      | SARS-CoV2 3CL Protease |    17962.74   |
|  70  |     Idoxuridine      | SARS-CoV2 3CL Protease |    18047.41   |
|  71  |     Trifluridine     | SARS-CoV2 3CL Protease |    19279.74   |
|  72  |       Loviride       | SARS-CoV2 3CL Protease |    19697.40   |
|  73  |     Telbivudine      | SARS-CoV2 3CL Protease |    25925.59   |
|  74  |      Moroxydine      | SARS-CoV2 3CL Protease |    27631.82   |
|  75  |       Inosine        | SARS-CoV2 3CL Protease |    28020.53   |
|  76  |     Taribavirin      | SARS-CoV2 3CL Protease |    29760.46   |
|  77  |      Vidarabine      | SARS-CoV2 3CL Protease |    32655.59   |
|  78  |      Docosanol       | SARS-CoV2 3CL Protease |    37006.13   |
|  79  |      Remdesivir      | SARS-CoV2 3CL Protease |    60654.03   |
|  80  |      Foscarnet       | SARS-CoV2 3CL Protease |    86812.50   |
|  81  |      Pyrimidine      | SARS-CoV2 3CL Protease |   251706.74   |
|  82  |     Delavirdine      | SARS-CoV2 3CL Protease |   803838.02   |
+------+----------------------+------------------------+---------------+
